; Hulk, Leia Organa
AI; Seth
Ability Copier; Seth
Absurdly Strong; Gran'ma Ben
Accidental Adventurer; Fone Bone, Phoney Bone, Smiley Bone
Accidental Time Travel; Dana Franklin
Adopted; Nadia van Dyne
African American; Black Lightning, Dana Franklin, Falcon, Ironheart, Mace Windu, War Machine
African-American; Barret Wallace, Black Panther
Against Programming; Bastion
Agents; Breach
Allergies; Barry Wheeler
Almost Invulnerable; Beaker
Alpha Flight; Aurora, Northstar
American; Quincey Morris
Amnesiac; Bobby
Android; Iron Lad
Angsty; Dimitri
Animal-Person; Blake Belladonna
Animorphic; Banjo, Kazooie
Antagonist; Akuma
Antihero; Amanda Waller, Magneto
Antivillain; Sombra
Apples; Applejack
Apprentice; Cal Kestis
Archbishop; Rhea
Archer; Akkar, Apollo, Atreus, Bard the Bowman, Bernadetta, Bow, Claude, Green Arrow, Hawkeye, Shamir
Armor Suit; Iron Lad, Iron Man, Ironheart, War Machine
Artificer; Byllemura Ruby-Eye
Artificial; Vision, Viv Vision
Artist; Rumy
Asgardian; Thor
Assassin; Aphelios, Araithia Shokta, Black Widow, Bucky Barnes
Astral Captain; Captain Kirk
Astral Force; Amara
Astromech; BB-8, R2-D2
Astronaut; Beth Johanssen, Bill Kerman, Bob Kerman, Dr. Chris Beck
Aunt Uncle; Iris West|Wally West, Wally West|Iris West
Australian; Captain Boomerang
Avenger; Thor
Avengers; Agent Venom, Black Panther, Captain America, Falcon, Hank Pym, Hawkeye, Hulk, Iron Man, Quicksilver, Scarlet Witch, Scott Lang, Vision, War Machine
Avengers Founders; Hank Pym
Axe; Alois
Axe-Wielder; Kratos
Axes; Edelgard
Bad Jokes; Alois
Band of Fools; Akkar, Arthail Consumer of Food, Byllemura Ruby-Eye, Glynnric Manassnass, Kalathos Sunstrider, Kareem Par-Al, Nahara, Ruby Rider
Band of Fools Redux; Arthail Consumer of Food, Byllemura Ruby-Eye, Kalathos Sunstrider
Barbarian; Arthail Consumer of Food
